session_name,subject_id,session_date,spreadsheet_reward_size_ul,spreadsheet_water_received_ul,behavioral_total_rewards,behavioral_reward_volume_ul,behavioral_calculated_volume_ul
mZS059d20210328,ZS059,2021-03-28,2.5,0.55,193,482.5,482.5
mZS059d20210329,ZS059,2021-03-29,2.5,0.635,247,617.5,617.5
mZS059d20210330,ZS059,2021-03-30,2.5,0.685,233,582.5,582.5
mZS059d20210331,ZS059,2021-03-31,2.5,0.6,201,502.5,502.5
mZS059d20210401,ZS059,2021-04-01,2.5,0.66,224,560.0,560.0
mZS059d20210402,ZS059,2021-04-02,2.5,0.65,220,550.0,550.0
mZS059d20210403,ZS059,2021-04-03,2.5,0.83,292,730.0,730.0
mZS059d20210404,ZS059,2021-04-04,2.5,0.745,258,645.0,645.0
mZS059d20210405,ZS059,2021-04-05,2.5,0.855,302,755.0,755.0
mZS059d20210406,ZS059,2021-04-06,2.5,0.85,300,750.0,750.0
mZS059d20210407,ZS059,2021-04-07,2.5,0.745,258,645.0,645.0
mZS059d20210408,ZS059,2021-04-08,2.5,0.52,167,417.5,417.5
mZS059d20210409,ZS059,2021-04-09,2.5,0.535,174,435.0,435.0
mZS059d20210410,ZS059,2021-04-10,2.5,0.6,213,532.5,532.5
mZS059d20210411,ZS059,2021-04-11,2.5,0.61,204,510.0,510.0
mZS059d20210412,ZS059,2021-04-12,2.5,0.55,179,447.5,447.5
mZS059d20210413,ZS059,2021-04-13,2.5,0.42,129,322.5,322.5
mZS059d20210414,ZS059,2021-04-14,2.5,0.55,220,550.0,550.0
mZS059d20210415,ZS059,2021-04-15,2.5,0.55,193,482.5,482.5
mZS059d20210416,ZS059,2021-04-16,2.5,0.58,193,482.5,482.5
mZS059d20210417,ZS059,2021-04-17,2.5,0.6,199,497.5,497.5
mZS059d20210418,ZS059,2021-04-18,2.5,0.6,199,497.5,497.5
mZS059d20210419,ZS059,2021-04-19,2.5,0.445,178,445.0,445.0
mZS059d20210420,ZS059,2021-04-20,2.5,0.435,174,435.0,435.0
mZS059d20210421,ZS059,2021-04-21,2.5,0.405,161,402.5,402.5
mZS059d20210422,ZS059,2021-04-22,2.5,0.45,179,447.5,447.5
mZS059d20210423,ZS059,2021-04-23,2.5,0.52,207,517.5,517.5
mZS059d20210424,ZS059,2021-04-24,2.5,0.535,214,535.0,535.0
mZS059d20210425,ZS059,2021-04-25,2.5,0.42,168,420.0,420.0
mZS059d20210426,ZS059,2021-04-26,2.5,0.49,196,490.0,490.0
mZS059d20210427,ZS059,2021-04-27,2.5,0.5,199,497.5,497.5
mZS059d20210428,ZS059,2021-04-28,2.5,0.59,233,582.5,582.5
mZS059d20210429,ZS059,2021-04-29,2.5,0.6,259,647.5,647.5
